State/Territory,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
South Carolina,2018,"22,311","28,968","29,427","19,286","17,103","18,597","17,434","27,280","20,159","21,279","27,082","31,823","280,749"
South Dakota,2018,"6,556","8,086","10,135","7,040","5,720","5,779","5,385","7,156","7,305","9,023","9,456","9,052","90,693"
Tennessee,2018,"55,251","66,667","71,458","53,166","50,613","47,938","48,261","52,483","46,134","54,302","71,786","76,042","694,101"
Texas,2018,"123,042","155,942","161,200","114,704","111,159","108,008","122,071","134,727","121,366","112,356","141,813","165,244","1,571,632"
Utah,2018,"21,187","22,632","33,649","29,213","31,638","29,176","22,301","22,634","18,221","19,215","21,266","24,726","295,858"
Vermont,2018,"2,268","3,870","6,177","5,081","2,818","2,725","2,313","2,781","3,590","3,234","2,964","3,729","41,550"
Virgin Islands,2018,137,41,195,133,136,116,138,59,99,143,117,122,"1,436"
Virginia,2018,"35,206","47,385","55,765","37,720","32,135","32,496","32,931","34,578","33,627","35,497","46,478","52,942","476,760"
Washington,2018,"51,432","53,915","66,587","51,693","46,008","44,090","41,040","44,867","42,874","48,505","65,316","70,974","627,301"
West Virginia,2018,"15,102","23,344","40,701","22,379","17,108","14,127","13,136","15,366","15,411","17,523","22,695","24,786","241,678"
Wisconsin,2018,"36,791","43,777","56,482","41,542","28,841","26,403","26,598","32,732","33,194","37,142","45,446","43,572","452,520"
Wyoming,2018,"3,971","5,057","6,476","5,065","4,820","4,362","4,118","4,445","4,988","4,740","5,442","6,666","60,150"
Alabama,2017,"41,542","46,251","48,769","32,652","33,331","35,687","31,474","35,038","32,019","36,619","47,418","56,545","477,345"
Alaska,2017,"4,500","5,917","6,971","6,983","6,442","6,353","6,487","6,946","6,303","8,080","7,527","8,330","80,839"
Arizona,2017,"31,366","37,388","38,170","32,052","28,734","28,359","25,714","29,376","28,394","29,277","34,541","41,559","384,930"
Arkansas,2017,"16,762","22,548","23,290","16,452","16,749","16,614","14,015","17,517","17,747","20,327","26,049","29,559","237,629"
California,2017,"130,365","129,885","146,592","132,190","129,307","130,187","114,595","130,901","123,506","119,395","140,695","142,492","1,570,110"
Colorado,2017,"37,047","43,577","45,645","39,989","36,008","36,459","33,811","37,150","35,873","40,163","51,473","59,800","496,995"
Connecticut,2017,"15,073","15,209","18,787","16,406","16,149","16,504","14,525","14,019","12,117","13,201","14,334","15,455","181,779"
Delaware,2017,"4,299","5,066","5,527","4,296","4,012","3,634","2,981","3,509","3,502","3,692","4,577","5,544","50,639"
District of Columbia,2017,81,93,111,104,82,74,68,80,61,217,365,204,"1,540"
Florida,2017,"104,576","117,892","122,716","103,641","96,556","100,508","92,822","96,664","77,390","103,032","123,397","137,355","1,276,549"
Georgia,2017,"44,615","53,177","57,235","37,829","36,905","39,874","35,085","38,830","35,371","43,293","54,950","64,491","541,655"
Guam,2017,205,132,136,147,157,156,145,159,135,135,127,181,"1,815"
Hawaii,2017,866,"1,037","1,090",888,"1,117","1,083","1,109","1,079",948,"1,235","1,171","1,119","12,742"
Idaho,2017,"11,146","14,936","16,675","15,234","13,065","20,241","11,871","13,341","14,938","15,130","15,772","19,750","182,099"
Illinois,2017,"138,008","139,697","163,728","135,507","121,746","113,889","108,000","126,921","116,449","122,798","150,588","163,756","1,601,087"
Indiana,2017,"80,412","136,193","79,624","63,298","54,347","49,689","47,145","47,649","48,524","55,336","75,879","92,261","830,357"
Iowa,2017,"15,707","15,025","20,026","13,017","10,232","8,352","8,801","9,416","9,975","14,012","17,182","19,236","160,981"
Kansas,2017,"15,049","19,211","17,891","15,139","12,337","13,485","13,775","13,097","12,856","15,018","20,460","23,133","191,451"
Kentucky,2017,"345,924","313,748","397,959","392,685","391,740","392,002","390,494","394,718","398,706","401,155","404,508","417,841","4,641,480"
Louisiana,2017,"27,709","27,684","29,310","22,065","21,311","23,497","20,454","24,694","27,821","27,436","35,485","41,735","329,201"
Maine,2017,"6,865","7,731","9,632","8,115","7,200","6,474","5,837","7,751","8,715","10,328","8,578","9,364","96,590"
Mariana Islands,2017,2,0,11,13,12,12,13,27,16,9,21,23,159
Maryland,2017,"13,368","14,852","15,769","13,182","11,660","10,945","10,088","11,561","11,255","13,651","16,266","16,062","158,659"
Massachusetts,2017,"19,996","18,130","21,059","17,866","16,651","15,841","12,900","16,258","15,460","16,842","17,548","17,941","206,492"
Michigan,2017,"39,067","48,382","54,452","41,939","38,548","37,088","33,378","39,255","36,944","44,262","54,350","45,578","513,243"
Minnesota,2017,"85,322","62,051","77,749","71,484","55,570","44,775","41,186","46,613","44,552","55,012","48,087","51,143","683,544"
Mississippi,2017,"17,113","24,043","24,421","16,803","15,680","17,154","14,388","21,963","17,491","19,080","28,188","35,528","251,852"
Missouri,2017,"39,098","50,850","52,928","40,019","34,965","36,752","32,415","37,449","37,571","43,987","56,129","62,810","524,973"
Montana,2017,"7,994","10,386","12,396","10,293","9,418","9,901","7,890","9,618","10,283","11,673","11,107","12,979","123,938"
Nebraska,2017,"6,205","7,122","7,337","5,745","5,025","4,265","4,266","5,209","5,345","6,543","8,303","8,953","74,318"
Nevada,2017,"10,013","11,765","14,158","10,588","9,803","10,602","8,310","9,035","9,460","10,198","12,064","13,626","129,622"
New Hampshire,2017,"12,067","12,282","13,529","10,792","8,868","9,184","8,333","9,313","10,689","10,371","11,627","12,035","129,090"
New Jersey,2017,"9,274","9,601","10,993","9,119","8,694","7,790","7,034","7,443","7,165","7,852","9,433","9,341","103,739"
New Mexico,2017,"10,966","15,364","14,963","12,748","11,291","11,398","10,580","11,690","12,491","13,543","16,110","18,635","159,779"
New York,2017,"31,567","31,910","35,608","33,113","31,294","27,677","25,576","28,779","30,703","32,615","37,306","36,347","382,495"
North Carolina,2017,"46,548","51,627","55,574","39,992","39,413","39,169","34,784","41,122","37,325","43,211","51,839","57,209","537,813"
North Dakota,2017,"4,933","6,193","6,461","6,504","4,654","4,939","4,136","4,874","5,212","6,209","6,334","6,528","66,977"
Ohio,2017,"58,574","74,257","81,153","66,800","56,229","53,164","49,432","51,103","49,942","56,960","76,732","78,726","753,072"
Oklahoma,2017,"24,547","30,840","30,518","27,478","22,693","24,632","20,738","24,061","23,371","25,822","38,406","41,245","334,351"
Oregon,2017,"22,210","29,183","32,423","27,936","26,466","27,103","23,239","24,904","27,277","27,786","34,103","38,537","341,167"
Pennsylvania,2017,"85,948","95,585","110,334","85,908","79,725","76,201","73,654","79,020","77,003","87,064","104,479","107,730","1,062,651"
Puerto Rico,2017,"1,332","1,259","1,560","1,387","1,600","1,631","1,381","1,490",791,"1,306","2,307","2,767","18,811"
Rhode Island,2017,"2,147","2,354","2,553","2,133","1,883","1,899","1,646","1,718","1,799","2,103","2,173","2,269","24,677"
South Carolina,2017,"31,829","41,969","43,113","30,218","31,248","32,995","26,567","31,663","25,930","28,996","34,132","38,260","396,920"
South Dakota,2017,"7,614","9,754","9,770","7,857","7,004","6,704","6,068","6,686","7,457","9,244","9,908","10,507","98,573"
Tennessee,2017,"83,613","69,264","74,655","57,852","57,763","52,959","52,643","49,945","50,945","55,531","74,800","87,983","767,953"
Texas,2017,"117,903","137,470","144,270","109,961","109,732","118,091","98,338","110,946","128,260","129,869","163,358","181,236","1,549,434"
Utah,2017,"18,314","24,889","26,941","23,177","23,844","22,138","17,925","22,010","20,041","19,619","24,359","27,220","270,477"
Vermont,2017,"2,691","3,594","4,051","3,818","2,577","2,382","2,275","2,676","3,084","3,463","3,240","3,759","37,610"
Virgin Islands,2017,88,106,96,111,79,153,151,132,9,68,86,131,"1,210"
Virginia,2017,"37,369","47,038","49,368","48,631","36,007","36,838","36,183","39,114","36,446","40,293","53,142","60,398","520,827"
Washington,2017,"46,027","52,154","58,069","47,895","45,816","46,023","38,369","42,120","43,049","48,147","53,072","58,937","579,678"
West Virginia,2017,"15,772","22,449","22,529","16,988","15,085","14,498","13,970","14,770","16,723","18,256","24,455","27,273","222,768"
Wisconsin,2017,"46,775","50,720","58,739","45,872","37,888","36,267","32,846","40,924","37,506","43,183","48,683","47,120","526,523"
Wyoming,2017,"3,705","4,554","5,315","4,269","4,128","3,975","3,398","4,111","4,281","4,370","5,665","6,940","54,711"
Alabama,2016,"73,218","77,411","55,486","41,239","36,157","44,976","48,927","42,455","41,336","43,251","50,477","62,014","616,947"
Alaska,2016,"6,085","6,779","6,982","6,867","5,991","7,406","6,793","7,194","6,867","9,383","8,514","8,786","87,647"
Arizona,2016,"31,910","35,307","35,795","32,005","28,671","32,540","34,496","33,422","33,390","34,134","39,722","44,887","416,279"
Arkansas,2016,"20,437","27,506","24,390","19,048","16,422","18,779","19,378","21,692","18,826","22,709","26,901","29,926","266,014"
California,2016,"220,912","214,844","201,041","171,256","166,035","173,846","190,218","176,770","159,077","180,968","224,039","298,161","2,377,167"
Colorado,2016,"48,214","47,302","46,430","41,636","36,512","41,134","43,094","40,996","40,013","45,337","54,418","55,428","540,514"
Connecticut,2016,"31,712","32,110","35,332","32,657","29,247","33,475","29,755","27,353","14,955","16,048","17,223","17,825","317,692"
